content,label,source,note
台茂新年採購節1/5~21全館+13大專區滿仟送佰、13家銀行滿額/分期禮。,ham,簡訊,百貨促銷活動
台茂春節特賣1/22起卡友禮送100元商品券、12家銀行滿額禮。,ham,簡訊,百貨春節促銷
台茂年中慶6/1~19全館滿5仟送3佰，泡泡瑪特快閃登場。,ham,簡訊,百貨年中慶活動
購買Gogoro VIVA MIX限時贈1.5年免費騎，登錄再送提袋。,ham,簡訊,電動機車促銷
遠傳辦iPhone 14最低不到萬元，加碼送iPad 10.2吋。,ham,簡訊,電信手機促銷
遠傳光纖5G+家用光纖120M只要999元起，再送65吋電視。,ham,簡訊,網路與電視促銷
遠傳用戶德誼買Apple送白蘭氏精華飲，指定資費再折萬元。,ham,簡訊,電信搭配購物促銷
珍煮丹茶飲不限品項享遠傳幣3%回饋，活動延長至4/30。,ham,簡訊,飲料店促銷
遠傳friDay購物【網紅看盤】購物分享賺現金。,ham,簡訊,購物平台促銷
大甲媽繞境開運商品上市，送大甲媽壓轎金。,ham,簡訊,宗教活動商品推廣
friDay影音0元優惠，暢看熱門韓劇與電影。,ham,簡訊,影音平台促銷
遠傳AI節能介紹：基地台冷氣變聰明又省電。,ham,簡訊,企業形象推廣
遠傳春節營業中，iPhone全系列現貨供應中。,ham,簡訊,春節手機促銷
小米86吋電視免7萬，國際除濕機低於萬元。,ham,簡訊,家電促銷
填問卷送美食折價券，加碼抽7-11咖啡。,ham,簡訊,問卷活動推廣
新一代AirPods Pro上架，主動降噪升級介紹。,ham,簡訊,3C新品推廣
遠傳回饋百萬意外險保障，請立即領取。,ham,簡訊,保險活動推廣
遠傳用戶送iCloud+ 50GB免費用3個月。,ham,簡訊,雲端儲存促銷
博客來日韓品牌優惠，消費滿500送50元折抵。,ham,簡訊,網購促銷活動
新港奉天宮開運商品開賣，黃金福龜、聚寶盆等。,ham,簡訊,宗教開運商品推廣
新春點燈活動，保平安、消災厄、財神燈點燈。,ham,簡訊,宗教祈福推廣
adidas官網618活動，全館3折起，再送優惠券。,ham,簡訊,運動品牌促銷
提醒：網路詐騙注意事項，查詢165網站。,ham,簡訊,防詐騙提醒
警政署提醒：免經驗高薪工作詐騙，請勿上當。,ham,簡訊,防詐騙提醒
警政署提醒：LINE邀投資借貸多有詐，小心查證。,ham,簡訊,防詐騙提醒
警政署提醒：+號電話來電小心詐騙。,ham,簡訊,防詐騙提醒
KlassiC官網快閃5/17-5/19免運費，手工墨鏡特惠。,ham,簡訊,墨鏡促銷活動
達美樂My Box 129元起，自由搭配5樣副食。,ham,簡訊,速食促銷活動
初五開工慶，達美樂披薩買一送一。,ham,簡訊,速食促銷活動
無接觸超跑級洗車，開幕優惠中。,ham,簡訊,汽車美容推廣
提醒：YouBike卡片未加保，請盡速辦理。,ham,簡訊,保險提醒通知
提醒：YouBike自行車傷害險尚未登錄。,ham,簡訊,保險提醒通知
提醒：YouBike加保享保障，請立即登錄。,ham,簡訊,保險提醒通知
momo購物網單日滿額送好禮，抽氣泡水機。,ham,簡訊,網購促銷
達美樂外送3個大披薩只要699元。,ham,簡訊,速食促銷
桃園最強2房【名鑄】，壓軸倒數賞屋專線。,ham,簡訊,房地產推廣
WOODSTUCK官網限定999組合包，拯救夏日穿搭。,ham,簡訊,服飾促銷活動
社區好醫院推廣計畫，診所就近照顧您。,ham,簡訊,醫療宣導推廣
過年試手氣！星城Online登入抽千萬。,ham,簡訊,遊戲促銷
集雅社問卷活動，填問卷抽電氣熨斗。,ham,簡訊,問卷回饋活動
2017決戰電繪CG繪圖大賽報名中。,ham,簡訊,比賽活動推廣
Omusic申請服務送威秀電影票，抽9999元現金。,ham,簡訊,音樂平台促銷
