content,label,source,note
中華電信：會員回饋提示，您的賬戶5340積分將於今日內到期，逾期將作廢，請及時兌換獎品： https://a.www.chtkonnm.top/ 請回复1激活鏈接領取,spam,簡訊,釣魚連結
〖國泰金融〗提醒您已獲10-300萬新台幣借款資格。每一萬塊月利息只需60塊。月繳無壓力！無需照會，無需保人，沒有手續費。當天辦理當天入賬！20年網絡口碑第一貸款公司。添加信貸專員LINE： dy88672免費咨詢改善財務問題,spam,簡訊,誘導加入LINE詐騙帳號
hi 我是元大綜合證券投信的柯雯靜，有訊息和你核對，加我line：lkx2324,spam,簡訊,誘導加入LINE詐騙帳號
〖衛生福利部〗您符合條件可提領兩萬元防疫津貼，疫情期間線上申請，複製鏈接到瀏覽器https://tw.hjxgov.com 領取,spam,簡訊,釣魚連結
【機車罰單通知】您有1筆罰單未處理，請於111年04月06日前辦理繳納作業：https://xco01.xyz,spam,簡訊,釣魚連結
台灣大哥大：因系統升級需重新登入，否則門號將凍結，立即登入 https://www.twmid-update.com.tw,spam,簡訊,釣魚連結
您的包裹因資料不齊導致無法配送，請點擊查詢 http://taiwan-post.store,spam,簡訊,釣魚連結
【財政部電子發票整合服務平台】您有未領取發票中獎金，點擊查詢：https://tax-twaward.win,spam,簡訊,釣魚連結
【防疫指揮中心】您曾與確診者足跡重疊，需填寫資料以便聯繫，請至：https://tw-cdc-confirm.vip,spam,簡訊,釣魚連結
恭喜您獲得免費口罩兌換資格，請至：https://free-mask-gov.com 領取,spam,簡訊,釣魚連結
中華電信：會員回饋提示，您的賬戶5340積分將於今日內到期，逾期將作廢，請及時兌換獎品： https://a.www.chtkonnm.top/ 請回复1激活鏈接領取,spam,簡訊,釣魚連結
〖國泰金融〗提醒您已獲10-300萬新台幣借款資格。每一萬塊月利息只需60塊。月繳無壓力！無需照會，無需保人，沒有手續費。當天辦理當天入賬！20年網絡口碑第一貸款公司。添加信貸專員LINE： dy88672免費咨詢改善財務問題,spam,簡訊,誘導加入LINE詐騙帳號
hi 我是元大綜合證券投信的柯雯靜，有訊息和你核對，加我line：lkx2324,spam,簡訊,誘導加入LINE詐騙帳號
〖衛生福利部〗您符合條件可提領兩萬元防疫津貼，疫情期間線上申請，複製鏈接到瀏覽器https://tw.hjxgov.com 領取,spam,簡訊,釣魚連結
【機車罰單通知】您有1筆罰單未處理，請於111年04月06日前辦理繳納作業：https://xco01.xyz,spam,簡訊,釣魚連結
台灣大哥大：因系統升級需重新登入，否則門號將凍結，立即登入 https://www.twmid-update.com.tw,spam,簡訊,釣魚連結
您的包裹因資料不齊導致無法配送，請點擊查詢 http://taiwan-post.store,spam,簡訊,釣魚連結
【財政部電子發票整合服務平台】您有未領取發票中獎金，點擊查詢：https://tax-twaward.win,spam,簡訊,釣魚連結
【防疫指揮中心】您曾與確診者足跡重疊，需填寫資料以便聯繫，請至：https://tw-cdc-confirm.vip,spam,簡訊,釣魚連結
恭喜您獲得免費口罩兌換資格，請至：https://free-mask-gov.com 領取,spam,簡訊,釣魚連結
中華電信：會員回饋提示，您的賬戶5340積分將於今日內到期，逾期將作廢，請及時兌換獎品： https://a.www.chtkonnm.top/ 請回复1激活鏈接領取,spam,簡訊,釣魚連結
〖國泰金融〗提醒您已獲10-300萬新台幣借款資格。每一萬塊月利息只需60塊。月繳無壓力！無需照會，無需保人，沒有手續費。當天辦理當天入賬！20年網絡口碑第一貸款公司。添加信貸專員LINE： dy88672免費咨詢改善財務問題,spam,簡訊,誘導加入LINE詐騙帳號
hi 我是元大綜合證券投信的柯雯靜，有訊息和你核對，加我line：lkx2324,spam,簡訊,誘導加入LINE詐騙帳號
〖衛生福利部〗您符合條件可提領兩萬元防疫津貼，疫情期間線上申請，複製鏈接到瀏覽器https://tw.hjxgov.com 領取,spam,簡訊,釣魚連結
【機車罰單通知】您有1筆罰單未處理，請於111年04月06日前辦理繳納作業：https://xco01.xyz,spam,簡訊,釣魚連結
台灣大哥大：因系統升級需重新登入，否則門號將凍結，立即登入 https://www.twmid-update.com.tw,spam,簡訊,釣魚連結
您的包裹因資料不齊導致無法配送，請點擊查詢 http://taiwan-post.store,spam,簡訊,釣魚連結
【財政部電子發票整合服務平台】您有未領取發票中獎金，點擊查詢：https://tax-twaward.win,spam,簡訊,釣魚連結
【防疫指揮中心】您曾與確診者足跡重疊，需填寫資料以便聯繫，請至：https://tw-cdc-confirm.vip,spam,簡訊,釣魚連結
恭喜您獲得免費口罩兌換資格，請至：https://free-mask-gov.com 領取,spam,簡訊,釣魚連結
中華電信：會員回饋提示，您的賬戶5340積分將於今日內到期，逾期將作廢，請及時兌換獎品： https://a.www.chtkonnm.top/ 請回复1激活鏈接領取,spam,簡訊,釣魚連結
〖國泰金融〗提醒您已獲10-300萬新台幣借款資格。每一萬塊月利息只需60塊。月繳無壓力！無需照會，無需保人，沒有手續費。當天辦理當天入賬！20年網絡口碑第一貸款公司。添加信貸專員LINE： dy88672免費咨詢改善財務問題,spam,簡訊,誘導加入LINE詐騙帳號
hi 我是元大綜合證券投信的柯雯靜，有訊息和你核對，加我line：lkx2324,spam,簡訊,誘導加入LINE詐騙帳號
〖衛生福利部〗您符合條件可提領兩萬元防疫津貼，疫情期間線上申請，複製鏈接到瀏覽器https://tw.hjxgov.com 領取,spam,簡訊,釣魚連結
【機車罰單通知】您有1筆罰單未處理，請於111年04月06日前辦理繳納作業：https://xco01.xyz,spam,簡訊,釣魚連結
台灣大哥大：因系統升級需重新登入，否則門號將凍結，立即登入 https://www.twmid-update.com.tw,spam,簡訊,釣魚連結
您的包裹因資料不齊導致無法配送，請點擊查詢 http://taiwan-post.store,spam,簡訊,釣魚連結
【財政部電子發票整合服務平台】您有未領取發票中獎金，點擊查詢：https://tax-twaward.win,spam,簡訊,釣魚連結
【防疫指揮中心】您曾與確診者足跡重疊，需填寫資料以便聯繫，請至：https://tw-cdc-confirm.vip,spam,簡訊,釣魚連結
恭喜您獲得免費口罩兌換資格，請至：https://free-mask-gov.com 領取,spam,簡訊,釣魚連結
中華電信：會員回饋提示，您的賬戶5340積分將於今日內到期，逾期將作廢，請及時兌換獎品： https://a.www.chtkonnm.top/ 請回复1激活鏈接領取,spam,簡訊,釣魚連結
〖國泰金融〗提醒您已獲10-300萬新台幣借款資格。每一萬塊月利息只需60塊。月繳無壓力！無需照會，無需保人，沒有手續費。當天辦理當天入賬！20年網絡口碑第一貸款公司。添加信貸專員LINE： dy88672免費咨詢改善財務問題,spam,簡訊,誘導加入LINE詐騙帳號
hi 我是元大綜合證券投信的柯雯靜，有訊息和你核對，加我line：lkx2324,spam,簡訊,誘導加入LINE詐騙帳號
〖衛生福利部〗您符合條件可提領兩萬元防疫津貼，疫情期間線上申請，複製鏈接到瀏覽器https://tw.hjxgov.com 領取,spam,簡訊,釣魚連結
【機車罰單通知】您有1筆罰單未處理，請於111年04月06日前辦理繳納作業：https://xco01.xyz,spam,簡訊,釣魚連結
台灣大哥大：因系統升級需重新登入，否則門號將凍結，立即登入 https://www.twmid-update.com.tw,spam,簡訊,釣魚連結
您的包裹因資料不齊導致無法配送，請點擊查詢 http://taiwan-post.store,spam,簡訊,釣魚連結
【財政部電子發票整合服務平台】您有未領取發票中獎金，點擊查詢：https://tax-twaward.win,spam,簡訊,釣魚連結
【防疫指揮中心】您曾與確診者足跡重疊，需填寫資料以便聯繫，請至：https://tw-cdc-confirm.vip,spam,簡訊,釣魚連結
恭喜您獲得免費口罩兌換資格，請至：https://free-mask-gov.com 領取,spam,簡訊,釣魚連結
中華電信：會員回饋提示，您的賬戶5340積分將於今日內到期，逾期將作廢，請及時兌換獎品： https://a.www.chtkonnm.top/ 請回复1激活鏈接領取,spam,簡訊,釣魚連結
〖國泰金融〗提醒您已獲10-300萬新台幣借款資格。每一萬塊月利息只需60塊。月繳無壓力！無需照會，無需保人，沒有手續費。當天辦理當天入賬！20年網絡口碑第一貸款公司。添加信貸專員LINE： dy88672免費咨詢改善財務問題,spam,簡訊,誘導加入LINE詐騙帳號
hi 我是元大綜合證券投信的柯雯靜，有訊息和你核對，加我line：lkx2324,spam,簡訊,誘導加入LINE詐騙帳號
〖衛生福利部〗您符合條件可提領兩萬元防疫津貼，疫情期間線上申請，複製鏈接到瀏覽器https://tw.hjxgov.com 領取,spam,簡訊,釣魚連結
【機車罰單通知】您有1筆罰單未處理，請於111年04月06日前辦理繳納作業：https://xco01.xyz,spam,簡訊,釣魚連結
台灣大哥大：因系統升級需重新登入，否則門號將凍結，立即登入 https://www.twmid-update.com.tw,spam,簡訊,釣魚連結
您的包裹因資料不齊導致無法配送，請點擊查詢 http://taiwan-post.store,spam,簡訊,釣魚連結
【財政部電子發票整合服務平台】您有未領取發票中獎金，點擊查詢：https://tax-twaward.win,spam,簡訊,釣魚連結
【防疫指揮中心】您曾與確診者足跡重疊，需填寫資料以便聯繫，請至：https://tw-cdc-confirm.vip,spam,簡訊,釣魚連結
恭喜您獲得免費口罩兌換資格，請至：https://free-mask-gov.com 領取,spam,簡訊,釣魚連結
中華電信：會員回饋提示，您的賬戶5340積分將於今日內到期，逾期將作廢，請及時兌換獎品： https://a.www.chtkonnm.top/ 請回复1激活鏈接領取,spam,簡訊,釣魚連結
〖國泰金融〗提醒您已獲10-300萬新台幣借款資格。每一萬塊月利息只需60塊。月繳無壓力！無需照會，無需保人，沒有手續費。當天辦理當天入賬！20年網絡口碑第一貸款公司。添加信貸專員LINE： dy88672免費咨詢改善財務問題,spam,簡訊,誘導加入LINE詐騙帳號
hi 我是元大綜合證券投信的柯雯靜，有訊息和你核對，加我line：lkx2324,spam,簡訊,誘導加入LINE詐騙帳號
〖衛生福利部〗您符合條件可提領兩萬元防疫津貼，疫情期間線上申請，複製鏈接到瀏覽器https://tw.hjxgov.com 領取,spam,簡訊,釣魚連結
【機車罰單通知】您有1筆罰單未處理，請於111年04月06日前辦理繳納作業：https://xco01.xyz,spam,簡訊,釣魚連結
台灣大哥大：因系統升級需重新登入，否則門號將凍結，立即登入 https://www.twmid-update.com.tw,spam,簡訊,釣魚連結
您的包裹因資料不齊導致無法配送，請點擊查詢 http://taiwan-post.store,spam,簡訊,釣魚連結
【財政部電子發票整合服務平台】您有未領取發票中獎金，點擊查詢：https://tax-twaward.win,spam,簡訊,釣魚連結
【防疫指揮中心】您曾與確診者足跡重疊，需填寫資料以便聯繫，請至：https://tw-cdc-confirm.vip,spam,簡訊,釣魚連結
恭喜您獲得免費口罩兌換資格，請至：https://free-mask-gov.com 領取,spam,簡訊,釣魚連結
中華電信：會員回饋提示，您的賬戶5340積分將於今日內到期，逾期將作廢，請及時兌換獎品： https://a.www.chtkonnm.top/ 請回复1激活鏈接領取,spam,簡訊,釣魚連結
〖國泰金融〗提醒您已獲10-300萬新台幣借款資格。每一萬塊月利息只需60塊。月繳無壓力！無需照會，無需保人，沒有手續費。當天辦理當天入賬！20年網絡口碑第一貸款公司。添加信貸專員LINE： dy88672免費咨詢改善財務問題,spam,簡訊,誘導加入LINE詐騙帳號
hi 我是元大綜合證券投信的柯雯靜，有訊息和你核對，加我line：lkx2324,spam,簡訊,誘導加入LINE詐騙帳號
〖衛生福利部〗您符合條件可提領兩萬元防疫津貼，疫情期間線上申請，複製鏈接到瀏覽器https://tw.hjxgov.com 領取,spam,簡訊,釣魚連結
【機車罰單通知】您有1筆罰單未處理，請於111年04月06日前辦理繳納作業：https://xco01.xyz,spam,簡訊,釣魚連結
台灣大哥大：因系統升級需重新登入，否則門號將凍結，立即登入 https://www.twmid-update.com.tw,spam,簡訊,釣魚連結
您的包裹因資料不齊導致無法配送，請點擊查詢 http://taiwan-post.store,spam,簡訊,釣魚連結
【財政部電子發票整合服務平台】您有未領取發票中獎金，點擊查詢：https://tax-twaward.win,spam,簡訊,釣魚連結
【防疫指揮中心】您曾與確診者足跡重疊，需填寫資料以便聯繫，請至：https://tw-cdc-confirm.vip,spam,簡訊,釣魚連結
恭喜您獲得免費口罩兌換資格，請至：https://free-mask-gov.com 領取,spam,簡訊,釣魚連結
中華電信：會員回饋提示，您的賬戶5340積分將於今日內到期，逾期將作廢，請及時兌換獎品： https://a.www.chtkonnm.top/ 請回复1激活鏈接領取,spam,簡訊,釣魚連結
〖國泰金融〗提醒您已獲10-300萬新台幣借款資格。每一萬塊月利息只需60塊。月繳無壓力！無需照會，無需保人，沒有手續費。當天辦理當天入賬！20年網絡口碑第一貸款公司。添加信貸專員LINE： dy88672免費咨詢改善財務問題,spam,簡訊,誘導加入LINE詐騙帳號
hi 我是元大綜合證券投信的柯雯靜，有訊息和你核對，加我line：lkx2324,spam,簡訊,誘導加入LINE詐騙帳號
〖衛生福利部〗您符合條件可提領兩萬元防疫津貼，疫情期間線上申請，複製鏈接到瀏覽器https://tw.hjxgov.com 領取,spam,簡訊,釣魚連結
【機車罰單通知】您有1筆罰單未處理，請於111年04月06日前辦理繳納作業：https://xco01.xyz,spam,簡訊,釣魚連結
台灣大哥大：因系統升級需重新登入，否則門號將凍結，立即登入 https://www.twmid-update.com.tw,spam,簡訊,釣魚連結
您的包裹因資料不齊導致無法配送，請點擊查詢 http://taiwan-post.store,spam,簡訊,釣魚連結
【財政部電子發票整合服務平台】您有未領取發票中獎金，點擊查詢：https://tax-twaward.win,spam,簡訊,釣魚連結
【防疫指揮中心】您曾與確診者足跡重疊，需填寫資料以便聯繫，請至：https://tw-cdc-confirm.vip,spam,簡訊,釣魚連結
恭喜您獲得免費口罩兌換資格，請至：https://free-mask-gov.com 領取,spam,簡訊,釣魚連結
中華電信：會員回饋提示，您的賬戶5340積分將於今日內到期，逾期將作廢，請及時兌換獎品： https://a.www.chtkonnm.top/ 請回复1激活鏈接領取,spam,簡訊,釣魚連結
〖國泰金融〗提醒您已獲10-300萬新台幣借款資格。每一萬塊月利息只需60塊。月繳無壓力！無需照會，無需保人，沒有手續費。當天辦理當天入賬！20年網絡口碑第一貸款公司。添加信貸專員LINE： dy88672免費咨詢改善財務問題,spam,簡訊,誘導加入LINE詐騙帳號
hi 我是元大綜合證券投信的柯雯靜，有訊息和你核對，加我line：lkx2324,spam,簡訊,誘導加入LINE詐騙帳號
〖衛生福利部〗您符合條件可提領兩萬元防疫津貼，疫情期間線上申請，複製鏈接到瀏覽器https://tw.hjxgov.com 領取,spam,簡訊,釣魚連結
【機車罰單通知】您有1筆罰單未處理，請於111年04月06日前辦理繳納作業：https://xco01.xyz,spam,簡訊,釣魚連結
台灣大哥大：因系統升級需重新登入，否則門號將凍結，立即登入 https://www.twmid-update.com.tw,spam,簡訊,釣魚連結
您的包裹因資料不齊導致無法配送，請點擊查詢 http://taiwan-post.store,spam,簡訊,釣魚連結
【財政部電子發票整合服務平台】您有未領取發票中獎金，點擊查詢：https://tax-twaward.win,spam,簡訊,釣魚連結
【防疫指揮中心】您曾與確診者足跡重疊，需填寫資料以便聯繫，請至：https://tw-cdc-confirm.vip,spam,簡訊,釣魚連結
恭喜您獲得免費口罩兌換資格，請至：https://free-mask-gov.com 領取,spam,簡訊,釣魚連結
中華電信：會員回饋提示，您的賬戶5340積分將於今日內到期，逾期將作廢，請及時兌換獎品： https://a.www.chtkonnm.top/ 請回复1激活鏈接領取,spam,簡訊,釣魚連結
〖國泰金融〗提醒您已獲10-300萬新台幣借款資格。每一萬塊月利息只需60塊。月繳無壓力！無需照會，無需保人，沒有手續費。當天辦理當天入賬！20年網絡口碑第一貸款公司。添加信貸專員LINE： dy88672免費咨詢改善財務問題,spam,簡訊,誘導加入LINE詐騙帳號
hi 我是元大綜合證券投信的柯雯靜，有訊息和你核對，加我line：lkx2324,spam,簡訊,誘導加入LINE詐騙帳號
〖衛生福利部〗您符合條件可提領兩萬元防疫津貼，疫情期間線上申請，複製鏈接到瀏覽器https://tw.hjxgov.com 領取,spam,簡訊,釣魚連結
【機車罰單通知】您有1筆罰單未處理，請於111年04月06日前辦理繳納作業：https://xco01.xyz,spam,簡訊,釣魚連結
台灣大哥大：因系統升級需重新登入，否則門號將凍結，立即登入 https://www.twmid-update.com.tw,spam,簡訊,釣魚連結
您的包裹因資料不齊導致無法配送，請點擊查詢 http://taiwan-post.store,spam,簡訊,釣魚連結
【財政部電子發票整合服務平台】您有未領取發票中獎金，點擊查詢：https://tax-twaward.win,spam,簡訊,釣魚連結
【防疫指揮中心】您曾與確診者足跡重疊，需填寫資料以便聯繫，請至：https://tw-cdc-confirm.vip,spam,簡訊,釣魚連結
